law,field,value,source_url,quote,pattern
sb6,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,"allowable use on a parcel that is within a zone where office, retail, or parking are a principally permitted use","allowable use on a parcel that is within a zone where office, retail, or parking are a principally permitted use"
sb6,sunset,"January 1, 2033",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,"July 1, 2023, and would repeal the provisions on January 1, 2033","July 1, 2023, and would repeal the provisions on (?P<v>January 1, 2033)"
sb6,operative,"July 1, 2023",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB6,"July 1, 2023, and would repeal the provisions on January 1, 2033","(?P<v>July 1, 2023), and would repeal the provisions on January 1, 2033"
ab2097,chapter,459,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2097,Assembly Bill No. 2097 CHAPTER 459,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab2097,enacted,"September 22, 2022",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2097,"Approved by Governor September 22, 2022.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab2097,effective,"January 1, 2023",https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=GOV&sectionNum=65863.2,"Stats. 2022, Ch. 459, Sec. 2. (AB 2097) Effective January 1, 2023","Stats\. 2022, Ch\. 459, Sec\. [\d.]+\. \(AB\ 2097\) Effective (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})"
ab2097,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2097,"AB 2097, Friedman. Residential, commercial, or other development types: parking requirements.","AB 2097, Friedman\. Residential, commercial, or other development types: parking requirements\."
ab2097,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220AB2097,"shall not impose or enforce any minimum automobile parking requirement on a residential, commercial, or other development project if the project is located within one-half mile of public transit","shall not impose or enforce any minimum automobile parking requirement on a residential, commercial, or other development project if the project is located within one-half mile of public transit"
ab1633,chapter,768,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1633,Assembly Bill No. 1633 CHAPTER 768,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
ab1633,enacted,"October 11, 2023",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1633,"Approved by Governor October 11, 2023.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
ab1633,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1633,"AB 1633, Ting. Housing Accountability Act: disapprovals: California Environmental Quality Act.","AB 1633, Ting\. Housing Accountability Act: disapprovals: California Environmental Quality Act\."
ab1633,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240AB1633,fails to make a determination of whether the project is exempt from CEQA or commits an abuse of discretion,fails to make a determination of whether the project is exempt from CEQA or commits an abuse of discretion
sb4,chapter,771,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,Senate Bill No. 4 CHAPTER 771,(?:Senate|Assembly) Bill No\. \d+ CHAPTER (?P<v>\d+)
sb4,enacted,"October 11, 2023",https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,"Approved by Governor October 11, 2023.","Approved by Governor (?P<v>[A-Z][a-z]+ \d{1,2}, \d{4})\."
sb4,target,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,"SB 4, Wiener. Planning and zoning: housing development: higher education institutions and religious institutions.","SB 4, Wiener\. Planning and zoning: housing development: higher education institutions and religious institutions\."
sb4,eligibility,,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202320240SB4,"use by right upon the request of an applicant who submits an application for streamlined approval, on any land owned by an independent institution of higher education or religious institution","use by right upon the request of an applicant who submits an application for streamlined approval, on any land owned by an independent institution of higher education or religious institution"
