case_number,hearing_date,request_type,project_address,block,lot
2004.0677D,2004-09-09,discretionary_review,77 Bluxome Street,3786,19
2004.0360DD,2004-09-23,discretionary_review,1422 45th avenue,1807,26
2004.0387D,2004-09-23,discretionary_review,266 magellan avenue,2863,14
2004.0635D,2004-09-23,discretionary_review,3150 18th street,3573,2;12
2004.0182C,2004-10-07,conditional_use,1135 Evans Avenue,4602A,14
2004.0755D,2004-10-07,discretionary_review,261 26th Avenue,1386,11
2003.0262EK,2004-10-14,downtown_project,1401-1435 Market Street,3507,39
2003.0262EKXCVMRTZ,2004-10-14,conditional_use,1401-1435 market street,3507,39
2003.0270DD,2004-10-14,discretionary_review,695 arkansas street,4099,25F;26
2004.0099D,2004-10-14,discretionary_review,2070 golden gate avenue,1150,19
2003.0262EKXCVMRTZ,2004-10-21,conditional_use,1401-1435 Market Street,3507,39
2004.0640DD,2004-10-21,discretionary_review,1272 42nd avenue,1709,26
2004.0357D,2004-11-29,discretionary_review,477 harkness avenue,6178,47
2004.0358D,2004-11-29,discretionary_review,477 harkness avenue,6178,47
2004.1032DDDDDD,2004-11-29,discretionary_review,2428 bayshore boulevard,6249,3
2004.0899D,2004-12-02,discretionary_review,1131 rivera street,2328,17A
2004.1180D,2004-12-02,discretionary_review,852 chenery street,6732,66
2004.1207DD,2004-12-02,discretionary_review,549 47th avenue,1497,12
2004.0205EKCV,2004-12-16,variance,1218-1226 leavenworth street,220,23A
2004.1223DD,2005-01-13,discretionary_review,369 harkness avenue,6177,46
2004.1331D,2005-01-13,discretionary_review,3305 jennings street,4993,25
2004.0361D,2005-01-27,discretionary_review,184 majestic avenue,7060,19
2004.093D,2005-02-17,discretionary_review,371 missouri street,4037,17
2004.1167DD,2005-02-17,discretionary_review,1310 Stanyan Street,2706,35
2004.1274DD,2005-02-17,discretionary_review,1919 22nd street,4161,1
2004.0885D,2005-02-24,discretionary_review,1517 irving street,1771,47
2004.0904D,2005-02-24,discretionary_review,364 winding way,6479,12
2004.1192DDDD,2005-02-24,discretionary_review,455 pennsylvania avenue,4063,3B
2005.0046D,2005-02-24,discretionary_review,1935 pacific avenue,592,14
2004.0458V,2005-03-03,variance,566 south van ness avenue,3570,5
2004.1274DD,2005-03-03,discretionary_review,1919 22nd Street,4161,1
2005.0021D,2005-03-03,discretionary_review,1 Palo Alto Drive,2724,3
2004.1057D,2005-03-17,discretionary_review,1177 California Street,253A,123;124
2005.0226DDDD,2005-04-28,discretionary_review,60 clarendon avenue,2688,23
2003.1152DV,2005-05-05,variance,329 Bay Street,41,36
2004.1212V,2005-05-12,variance,2839-41 mission street,6517,29
2004.1342EXV,2005-05-12,variance,693 Sutter Street,297,9
2005.0021D,2005-05-12,discretionary_review,1 palo alto drive,2724,3
2005.0421D,2005-05-12,discretionary_review,39 diamond street,2648,32
2004.0076C,2005-05-19,conditional_use,1350 Natoma Street,3548,89
2004.0560D,2005-05-19,discretionary_review,251 28th avenue,1388,5
2005.0214D,2005-05-19,discretionary_review,84 sycamore street / 50 clarion alley,3576,77
2004.0095D,2005-05-26,discretionary_review,522 37th Avenue,1508,15
2004.1132DV,2005-05-26,variance,3288 Folsom Street,5523,21
2004.1132DV,2005-05-26,discretionary_review,3288 folsom street,5523,21
2004.0560D,2005-06-02,discretionary_review,251 28th avenue,1388,5
2004.1305D,2005-06-09,discretionary_review,2678 47th Avenue,2450,20
2005.0175CV,2005-06-16,variance,146-148 21st avenue,1380,28
2004.0798D,2005-06-23,discretionary_review,2070 30th avenue,2149,3M
2005.0375D,2005-07-14,discretionary_review,1122 green street,122,6
2005.0129CV,2005-07-21,variance,3640 Sacramento Street,1011,10
